
[Minggu, 04 - November - 2018 | 10:09:02] 'in <string>' requires string as left operand, not list
[Minggu, 04 - November - 2018 | 11:54:05] 'in <string>' requires string as left operand, not list
[Minggu, 04 - November - 2018 | 13:15:24] TalkException(parameterMap={'2': 'cb754698f7c0605f788b3a99067963728'}, code=10, reason='You are not related to group: cb754698f7c0605f788b3a99067963728')
[Minggu, 04 - November - 2018 | 13:22:27] 'in <string>' requires string as left operand, not list
[Minggu, 04 - November - 2018 | 17:04:35] 'in <string>' requires string as left operand, not list
[Minggu, 04 - November - 2018 | 17:46:53] 'in <string>' requires string as left operand, not list
[Minggu, 04 - November - 2018 | 18:15:01] 'NoneType' object does not support item assignment
[Minggu, 04 - November - 2018 | 19:00:42] 'in <string>' requires string as left operand, not list
[Minggu, 04 - November - 2018 | 19:29:56] 'in <string>' requires string as left operand, not list
[Minggu, 04 - November - 2018 | 21:01:33] Invalid mids
[Minggu, 04 - November - 2018 | 21:39:21] 'in <string>' requires string as left operand, not list
[Senin, 05 - November - 2018 | 09:23:51] local variable 'hasil' referenced before assignment
[Senin, 05 - November - 2018 | 09:27:54] TalkException(code=10, parameterMap={'2': 'cb754698f7c0605f788b3a99067963728'}, reason='You are not related to group: cb754698f7c0605f788b3a99067963728')
[Senin, 05 - November - 2018 | 09:27:54] 'in <string>' requires string as left operand, not list
[Senin, 05 - November - 2018 | 10:19:02] Download file failure.
[Senin, 05 - November - 2018 | 10:43:15] 'NoneType' object does not support item assignment
[Senin, 05 - November - 2018 | 11:46:56] Invalid URL 'None': No schema supplied. Perhaps you meant http://None?
[Senin, 05 - November - 2018 | 17:09:45] local variable 'url' referenced before assignment
[Senin, 05 - November - 2018 | 20:05:58] HTTPSConnectionPool(host='api.eater.tech', port=443): Max retries exceeded with url: /wallp/hinata (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7efdd1e86668>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution',))
[Senin, 05 - November - 2018 | 20:40:55] Download object failure.
[Senin, 05 - November - 2018 | 21:04:19] Download object failure.
[Senin, 05 - November - 2018 | 21:04:53] Download object failure.
[Senin, 05 - November - 2018 | 22:29:40] HTTPSConnectionPool(host='noxtapi.inth.red', port=443): Max retries exceeded with url: /bounzen (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f672c787358>: Failed to establish a new connection: [Errno -2] Name or service not known',))
[Senin, 05 - November - 2018 | 23:28:42] 'list' object has no attribute 'startswith'
[Senin, 05 - November - 2018 | 23:37:54] 'list' object has no attribute 'startswith'
[Senin, 05 - November - 2018 | 23:39:24] Download object failure.
[Selasa, 06 - November - 2018 | 00:19:53] local variable 'contact' referenced before assignment
[Selasa, 06 - November - 2018 | 00:30:06] 'list' object has no attribute 'startswith'
[Rabu, 04 - 03 - 2020 | 11:54:51] TalkException(code=73, reason='Prevented join by ticket: 1568482016, 907972510', parameterMap=None)
[Rabu, 04 - 03 - 2020 | 11:55:21] TalkException(code=73, reason='Prevented join by ticket: 1568488048, 907972510', parameterMap=None)
[Rabu, 04 - 03 - 2020 | 13:57:20] TalkException(code=73, reason='Prevented join by ticket: 1577343344, 907972510', parameterMap=None)
[Rabu, 04 - 03 - 2020 | 14:04:30] TalkException(code=73, reason='Prevented join by ticket: 1577583040, 907972510', parameterMap=None)
[Jumat, 06 - 03 - 2020 | 10:06:49] TalkException(code=5, reason='Ticket not found: IcJZHOsKkD', parameterMap=None)
[Jumat, 06 - 03 - 2020 | 13:53:50] TalkException(code=6, reason='group size over limit: 501', parameterMap=None)
[Sabtu, 07 - 03 - 2020 | 15:17:22] TalkException(code=6, reason='group size over limit: 501', parameterMap=None)
[Sabtu, 07 - 03 - 2020 | 17:08:08] TalkException(code=73, reason='Prevented join by ticket: 1668192874, 969071615', parameterMap=None)
[Minggu, 08 - 03 - 2020 | 20:40:36] TalkException(code=73, reason='Prevented join by ticket: 1668192874, 970596332', parameterMap=None)
[Senin, 09 - 03 - 2020 | 19:41:19] TalkException(code=73, reason='Prevented join by ticket: 1668192874, 971002364', parameterMap=None)
[Senin, 09 - 03 - 2020 | 19:46:43] TalkException(code=73, reason='Prevented join by ticket: 1668192874, 971002364', parameterMap=None)
[Minggu, 15 - 03 - 2020 | 15:10:09] TalkException(code=10, reason='You are not related to group: c916a93ac82357f51ca748671b4a63e49', parameterMap={'2': 'c916a93ac82357f51ca748671b4a63e49'})
[Minggu, 15 - 03 - 2020 | 15:35:47] TalkException(code=20, reason='', parameterMap={})
[Minggu, 15 - 03 - 2020 | 16:35:45] TalkException(code=10, reason='You are not related to group: c916a93ac82357f51ca748671b4a63e49', parameterMap={'2': 'c916a93ac82357f51ca748671b4a63e49'})
[Senin, 16 - 03 - 2020 | 21:52:37] TalkException(code=73, reason='Prevented join by ticket: 1679004977, 969347553', parameterMap=None)
[Senin, 16 - 03 - 2020 | 22:00:10] TalkException(code=20, reason='', parameterMap={})
[Selasa, 17 - 03 - 2020 | 17:16:10] TalkException(code=10, reason='You are not related to group: c3f1d9da4b6214a4e52156294061dc401', parameterMap={'2': 'c3f1d9da4b6214a4e52156294061dc401'})
[Minggu, 22 - 03 - 2020 | 14:50:46] TalkException(code=6, reason='Invalid length of displayName: assist has been update.', parameterMap=None)
